address;zip_code;price;sell_date;sell_type;price_per_sq_m;no_rooms;housing_type;size_in_sq_m;year_of_construction;price_change_in_pct;zip_code_num
Boulevarden 35, 1;9000 Aalborg;1450000;07-02-2015;Alm. Salg;185890;30;Lejlighed;780;18950;-30;9000
Ninavej 34;9000 Aalborg;1600000;06-02-2015;Alm. Salg;142850;40;Rækkehus;1120;19650;-30;9000
Vingårdsgade 27, 4. TV;9000 Aalborg;1750000;05-02-2015;Alm. Salg;147050;30;Lejlighed;1190;19270;-30;9000
Borgergade 25, 1. TH;9000 Aalborg;1700000;28-01-2015;Alm. Salg;212500;30;Lejlighed;800;19080;-30;9000
Borgmestervænget 1, 2. TH;9000 Aalborg;1705000;28-01-2015;Alm. Salg;187360;30;Lejlighed;910;19300;-30;9000
Borgmestervænget 1, 3. TV;9000 Aalborg;1800000;26-01-2015;Alm. Salg;200000;30;Lejlighed;900;19300;-30;9000
Danmarksgade 82, ST. TH;9000 Aalborg;1205000;26-01-2015;Alm. Salg;150620;30;Lejlighed;800;18960;-30;9000
Samsøgade 21, 2. TH;9000 Aalborg;1075000;22-09-2015;Alm. Salg;170630;20;Lejlighed;630;19490;-20;9000
Væverensvej 5;9000 Aalborg;2850000;16-09-2015;Alm. Salg;247820;60;Villa;1150;19350;-20;9000
Løkkegade 17, 1. TH;9000 Aalborg;785000;14-09-2015;Alm. Salg;167020;20;Lejlighed;470;18980;-20;9000
Danmarksgade 80, 4;9000 Aalborg;2250000;14-09-2015;Alm. Salg;178570;40;Lejlighed;1260;19030;-20;9000
Mariendalsvej 13;9000 Aalborg;2345000;13-09-2015;Alm. Salg;144750;50;Villa;1620;19230;-20;9000
Revlingbakken 99, ST. TV;9000 Aalborg;730000;09-09-2015;Alm. Salg;140380;20;Lejlighed;520;19720;-20;9000
Østerbro 29D, 2. TH;9000 Aalborg;2945000;25-08-2015;Alm. Salg;239430;30;Lejlighed;1230;20130;-20;9000
Fyrrebakken 20, ST. TH;9000 Aalborg;1270000;24-08-2015;Alm. Salg;222800;20;Lejlighed;570;19590;-20;9000
Løkkegade 15, 2. TV;9000 Aalborg;1465000;23-08-2015;Alm. Salg;187820;30;Lejlighed;780;18980;-20;9000
Jyllandsgade 15, 1. TH;9000 Aalborg;1420000;21-08-2015;Alm. Salg;175300;30;Lejlighed;810;19120;-20;9000
Provstejorden 7, 1. TH;9000 Aalborg;875000;20-08-2015;Alm. Salg;81010;40;Lejlighed;1080;19600;-20;9000
Vesterbro 29C, ST;9000 Aalborg;1715000;18-08-2015;Alm. Salg;188460;20;Lejlighed;910;18950;-20;9000
John F. Kennedys Plads 4, 3. TH;9000 Aalborg;2925000;17-08-2015;Alm. Salg;208920;30;Lejlighed;1400;19070;-20;9000
Hadsundvej 86B, 2. TH;9000 Aalborg;1200000;16-08-2015;Alm. Salg;136360;40;Lejlighed;880;19690;-20;9000
Hadsundvej 63, 1;9000 Aalborg;1545000;15-08-2015;Alm. Salg;151470;30;Lejlighed;1020;19280;-20;9000
Heibergsvej 2;9000 Aalborg;2250000;13-08-2015;Alm. Salg;229590;40;Villa;980;19550;-20;9000
Falstersgade 27, 2. TV;9000 Aalborg;1465000;12-08-2015;Alm. Salg;203470;30;Lejlighed;720;19200;-20;9000
Jyllandsgade 7, 1. TH;9000 Aalborg;1175000;12-08-2015;Alm. Salg;192620;20;Lejlighed;610;19150;-20;9000
Schleppegrellsgade 50, 2. TH;9000 Aalborg;1468000;11-08-2015;Alm. Salg;164940;30;Lejlighed;890;19300;-20;9000
Bøgesvinget 32;9000 Aalborg;2600000;11-08-2015;Alm. Salg;200000;40;Villa;1300;20130;-20;9000
Søndergade 9, 1. TV;9000 Aalborg;1175000;09-08-2015;Alm. Salg;209820;20;Lejlighed;560;18940;-20;9000
Østerbro 96, 1. TH;9000 Aalborg;1225000;05-08-2015;Alm. Salg;200810;20;Lejlighed;610;19260;-20;9000
Rosenlundsgade 3, 2. TH;9000 Aalborg;1175000;04-08-2015;Alm. Salg;192620;20;Lejlighed;610;18980;-20;9000
Nørregade 15A, 1;9000 Aalborg;1620000;31-07-2015;Alm. Salg;200000;30;Lejlighed;810;18740;-20;9000
Peder Skrams Gade 33, 3. TV;9000 Aalborg;1250000;31-07-2015;Alm. Salg;208330;20;Lejlighed;600;19520;-20;9000
Søndervangsvej 73;9000 Aalborg;1950000;31-07-2015;Alm. Salg;168100;50;Rækkehus;1160;19660;-20;9000
Kastetvej 15A, 5. 3;9000 Aalborg;975000;29-07-2015;Alm. Salg;203120;20;Lejlighed;480;19590;-20;9000
Østre Alle 38, ST. TH;9000 Aalborg;585000;28-07-2015;Alm. Salg;150000;10;Lejlighed;390;19200;-20;9000
Enggårdsgade 16A, 1. TV;9000 Aalborg;1225000;27-07-2015;Alm. Salg;163330;30;Lejlighed;750;19390;-20;9000
Mester Eriks Vej 87;9000 Aalborg;3325000;23-07-2015;Alm. Salg;239200;40;Villa;1390;19660;-20;9000
Årestrupsvej 28, 2. TH;9000 Aalborg;825000;22-07-2015;Alm. Salg;99390;30;Lejlighed;830;19670;-20;9000
Ågade 25, 3. TV;9000 Aalborg;1710000;21-07-2015;Alm. Salg;159810;40;Lejlighed;1070;19010;-20;9000
Estlandsgade 11, 3. MF;9000 Aalborg;1000000;20-07-2015;Alm. Salg;212760;20;Lejlighed;470;20050;-20;9000
Østerbro 94, 2. TH;9000 Aalborg;1275000;20-07-2015;Alm. Salg;182140;30;Lejlighed;700;19260;-20;9000
Dalsgårdsvej 4;9000 Aalborg;2750000;15-07-2015;Alm. Salg;108690;80;Villa;2530;19520;-20;9000
Himmerlandsgade 5, 3. TV;9000 Aalborg;1860000;08-07-2015;Alm. Salg;150000;50;Lejlighed;1240;19360;-20;9000
Vesterbro 90, 3. TV;9000 Aalborg;1120000;02-07-2015;Alm. Salg;133330;20;Lejlighed;840;19410;-20;9000
Kastanievej 14;9000 Aalborg;4200000;24-06-2015;Alm. Salg;280000;50;Villa;1500;19530;-20;9000
Christiansgade 24, ST;9000 Aalborg;1100000;21-06-2015;Alm. Salg;192980;20;Lejlighed;570;18980;-20;9000
Ryesgade 39, ST. TH;9000 Aalborg;1080000;12-06-2015;Alm. Salg;163630;20;Lejlighed;660;19350;-20;9000
Egholmsgade 4, 1. TH;9000 Aalborg;860000;10-06-2015;Alm. Salg;191110;20;Lejlighed;450;18980;-20;9000
Nordtoft 21;9000 Aalborg;5400000;04-06-2015;Alm. Salg;308570;50;Villa;1750;19610;-20;9000
Metavej 3E, ST. TV;9000 Aalborg;1150000;04-06-2015;Alm. Salg;135290;30;Lejlighed;850;19790;-20;9000
Kong Eriks Vej 11;9000 Aalborg;3925000;01-06-2015;Alm. Salg;246850;40;Villa;1590;19230;-20;9000
Revlingbakken 33, 8. 908;9000 Aalborg;515000;29-05-2015;Alm. Salg;119760;10;Lejlighed;430;19720;-20;9000
Suensonsgade 16, 1. TH;9000 Aalborg;975000;18-05-2015;Alm. Salg;154760;20;Lejlighed;630;19370;-20;9000
Fredericiagade 13E, ST;9000 Aalborg;1470000;18-05-2015;Alm. Salg;196000;20;Lejlighed;750;19890;-20;9000
Herluf Trolles Gade 15, 2. TV;9000 Aalborg;1170000;15-05-2015;Alm. Salg;185710;20;Lejlighed;630;19370;-20;9000
Sofievej 156, 2;9000 Aalborg;880000;07-05-2015;Alm. Salg;127530;20;Lejlighed;690;19630;-20;9000
Svanehøj 5;9000 Aalborg;4200000;22-04-2015;Alm. Salg;235950;60;Villa;1780;20060;-20;9000
Stormgade 12, 2. TH;9000 Aalborg;1590000;16-04-2015;Alm. Salg;212000;30;Lejlighed;750;20050;-20;9000
Druevej 12;9000 Aalborg;3900000;15-04-2015;Alm. Salg;213110;60;Villa;1830;19740;-20;9000
Hasserisgade 5, 4. TV;9000 Aalborg;1470000;09-04-2015;Alm. Salg;213040;20;Lejlighed;690;19380;-20;9000
Vesterbro 127, 2. 205;9000 Aalborg;825000;04-04-2015;Alm. Salg;147320;20;Lejlighed;560;19540;-20;9000
Paludan Müllers Vej 2;9000 Aalborg;1950000;01-04-2015;Alm. Salg;156000;40;Villa;1250;19480;-20;9000
Bygaden 24F;9000 Aalborg;3775000;01-04-2015;Alm. Salg;213270;50;Villa;1770;19980;-20;9000
Borgmestervænget 10, 4. TV;9000 Aalborg;1275000;01-04-2015;Alm. Salg;212500;40;Lejlighed;600;19390;-20;9000
Hirsevej 6;9000 Aalborg;1610000;31-03-2015;Alm. Salg;185050;30;Villa;870;19430;-20;9000
Snerlevej 5, ST. TH;9000 Aalborg;1270000;30-03-2015;Alm. Salg;147670;30;Lejlighed;860;19580;-20;9000
Finlandsgade 2, 2. TH;9000 Aalborg;1080000;03-02-2015;Alm. Salg;166150;20;Lejlighed;650;19260;-20;9000
Carsten Hauchs Vej 13;9000 Aalborg;1100000;27-01-2015;Alm. Salg;88000;50;Villa;1250;19470;-20;9000
Golfbakken 16;9000 Aalborg;2245000;23-01-2015;Alm. Salg;185530;40;Villa;1210;20140;-20;9000
Thorsens Alle 34;9000 Aalborg;2950000;18-01-2015;Alm. Salg;234120;50;Villa;1260;19650;-20;9000
Blomstermarken 115, ST. TH;9000 Aalborg;1400000;12-01-2015;Alm. Salg;145830;40;Lejlighed;960;19700;-20;9000
Thorsens Alle 12A;9000 Aalborg;2150000;12-01-2015;Alm. Salg;159250;50;Rækkehus;1350;20160;-20;9000
Hasserisvej 99;9000 Aalborg;5400000;09-01-2015;Alm. Salg;490900;70;Villa;1100;18850;-20;9000
Nybrogade 2, 1. MF;9000 Aalborg;1600000;08-01-2015;Alm. Salg;200000;20;Lejlighed;800;19960;-20;9000
Jennysvej 7;9000 Aalborg;5550000;31-12-2015;Alm. Salg;303270;60;Villa;1830;19350;-10;9000
Absalonsgade 17, 1. TH;9000 Aalborg;1235000;18-12-2015;Alm. Salg;212930;20;Lejlighed;580;19390;-10;9000
Christiansgade 53, 3. MF;9000 Aalborg;1465000;16-12-2015;Alm. Salg;212310;20;Lejlighed;690;19810;-10;9000
Ågade 21, 2. TH;9000 Aalborg;1985000;11-12-2015;Alm. Salg;218130;30;Lejlighed;910;18980;-10;9000
Rosenlundsgade 10, 4. TH;9000 Aalborg;1085000;06-12-2015;Alm. Salg;193750;30;Lejlighed;560;19000;-10;9000
Vesterbro 35, 3. 303;9000 Aalborg;1484000;03-12-2015;Alm. Salg;163070;30;Lejlighed;910;19590;-10;9000
Vestre Havnepromenade 11A, 1. 3;9000 Aalborg;2275000;02-12-2015;Alm. Salg;255610;30;Lejlighed;890;20020;-10;9000
Østerågade 18B, 1. 4;9000 Aalborg;1285000;30-11-2015;Alm. Salg;203960;20;Lejlighed;630;16160;-10;9000
Las Poulsens Vej 40;9000 Aalborg;4249000;29-11-2015;Alm. Salg;265560;40;Rækkehus;1600;18770;-10;9000
Kayerødsgade 27, 2;9000 Aalborg;1973000;25-11-2015;Alm. Salg;205520;40;Lejlighed;960;19120;-10;9000
Lektorvej 36;9000 Aalborg;1975000;24-11-2015;Alm. Salg;199490;40;Villa;990;19600;-10;9000
Vejgård Bymidte 21;9000 Aalborg;1480000;18-11-2015;Alm. Salg;217640;30;Rækkehus;680;19830;-10;9000
Danmarksgade 68, 1;9000 Aalborg;1505000;11-11-2015;Alm. Salg;231530;30;Lejlighed;650;19870;-10;9000
Østerbro 57, 2. TV;9000 Aalborg;1090000;30-10-2015;Alm. Salg;170310;20;Lejlighed;640;19340;-10;9000
Rådsherrevej 8;9000 Aalborg;3860000;23-10-2015;Alm. Salg;218070;50;Villa;1770;19670;-10;9000
Geskevej 7;9000 Aalborg;2735000;19-10-2015;Alm. Salg;140250;70;Villa;1950;19580;-10;9000
Skipper Clements Gade 16;9000 Aalborg;2115000;16-10-2015;Alm. Salg;278280;30;Rækkehus;760;18890;-10;9000
Vesterbro 24, 2. TV;9000 Aalborg;1755000;01-04-2015;Alm. Salg;162500;30;Lejlighed;1080;19330;-10;9000
Egholmsgade 2, 2. TH;9000 Aalborg;690000;25-03-2015;Alm. Salg;153330;10;Lejlighed;450;19000;-10;9000
Vendsysselgade 2, 1. TH;9000 Aalborg;965000;25-03-2015;Alm. Salg;158190;20;Lejlighed;610;19390;-10;9000
Christiansgade 56, 2;9000 Aalborg;1385000;25-03-2015;Alm. Salg;206710;20;Lejlighed;670;19020;-10;9000
Heimdalsgade 22;9000 Aalborg;2070000;24-03-2015;Alm. Salg;272360;20;Villa;760;19590;-10;9000
Ryesgade 39, 3. TV;9000 Aalborg;1137000;23-03-2015;Alm. Salg;169700;20;Lejlighed;670;19350;-10;9000
Kayerødsgade 9, 2. TH;9000 Aalborg;890000;23-03-2015;Alm. Salg;222500;10;Lejlighed;400;18810;-10;9000
Møensgade 4, ST. TH;9000 Aalborg;1085000;19-03-2015;Alm. Salg;193750;20;Lejlighed;560;19200;-10;9000
Sankt Jørgens Gade 4, 3. TH;9000 Aalborg;1180000;10-03-2015;Alm. Salg;171010;20;Lejlighed;690;19790;-10;9000
Vesterbro 35, 4. 403;9000 Aalborg;1425000;08-03-2015;Alm. Salg;158330;30;Lejlighed;900;19590;-10;9000
Peder Pårs Vej 26;9000 Aalborg;4740000;06-03-2015;Alm. Salg;227880;60;Villa;2080;19650;-10;9000
Sjællandsgade 83, 2. TV;9000 Aalborg;1330000;05-03-2015;Alm. Salg;177330;30;Lejlighed;750;19260;-10;9000
Finlandsgade 6, 1. TV;9000 Aalborg;1230000;05-03-2015;Alm. Salg;170830;30;Lejlighed;720;19260;-10;9000
Fredericiagade 6, ST. TV;9000 Aalborg;1330000;22-02-2015;Alm. Salg;158330;30;Lejlighed;840;19400;-10;9000
Dybbølgade 5, 4. TH;9000 Aalborg;940000;20-02-2015;Alm. Salg;170900;20;Lejlighed;550;19380;-10;9000
Samsøgade 27, 4. TV;9000 Aalborg;865000;19-02-2015;Alm. Salg;137300;20;Lejlighed;630;19510;-10;9000
Urbansgade 21, 3. TH;9000 Aalborg;1425000;15-02-2015;Alm. Salg;203570;20;Lejlighed;700;19340;-10;9000
Th. Sauers Vej 102;9000 Aalborg;1425000;14-02-2015;Alm. Salg;130730;50;Rækkehus;1090;19870;-10;9000
Niels Ebbesens Gade 10A, 1;9000 Aalborg;1700000;11-02-2015;Alm. Salg;134920;50;Lejlighed;1260;18900;-10;9000
Himmerlandsgade 14, 2. TH;9000 Aalborg;1227500;11-02-2015;Alm. Salg;170480;30;Lejlighed;720;19530;-10;9000
Poul Paghs Gade 6D, 2. TH;9000 Aalborg;1383000;03-02-2015;Alm. Salg;157150;30;Lejlighed;880;19100;-10;9000
Peder Skrams Gade 1, 3. TH;9000 Aalborg;1080000;30-01-2015;Alm. Salg;168750;20;Lejlighed;640;19360;-10;9000
Kjeldgårdsgade 5;9000 Aalborg;2715000;12-01-2015;Alm. Salg;193920;40;Villa;1400;18900;-10;9000
Hermodsgade 22;9000 Aalborg;1925000;05-01-2015;Alm. Salg;157780;40;Villa;1220;19340;-10;9000
Nordens Huse 5;9000 Aalborg;1450000;31-12-2015;Alm. Salg;81000;50;Villa;1790;18900;0;9000
Revlingbakken 33, 7. 807;9000 Aalborg;400000;29-12-2015;Alm. Salg;105260;10;Lejlighed;380;19720;0;9000
Peder Pårs Vej 20;9000 Aalborg;1900000;28-12-2015;Alm. Salg;104390;50;Villa;1820;19650;0;9000
Hadsundvej 86F, 1. TV;9000 Aalborg;1495000;28-12-2015;Alm. Salg;169880;40;Lejlighed;880;19690;0;9000
Lektorvej 60;9000 Aalborg;3310000;28-12-2015;Alm. Salg;236420;40;Villa;1400;19600;0;9000
Oldfuxvej 14;9000 Aalborg;3350000;27-12-2015;Alm. Salg;212020;60;Villa;1580;19650;0;9000
Poul Buås Vej 28, 2. TH;9000 Aalborg;930000;22-12-2015;Alm. Salg;145310;20;Lejlighed;640;19630;0;9000
Vestre Fjordvej 46, 3. TH;9000 Aalborg;1925000;22-12-2015;Alm. Salg;331890;20;Lejlighed;580;19380;0;9000
Harald Jensens Vej 2;9000 Aalborg;2350000;22-12-2015;Alm. Salg;153590;50;Villa;1530;19270;0;9000
Carit Etlars Gade 5, 1. TV;9000 Aalborg;1139000;21-12-2015;Fam. Salg;207090;20;Lejlighed;550;19000;0;9000
Holbergsgade 17, 1. TV;9000 Aalborg;739500;21-12-2015;Fam. Salg;96030;30;Lejlighed;770;19100;0;9000
Hadsundvej 86;9000 Aalborg;1575000;20-12-2015;Andet;100960;40;Villa;1560;19670;0;9000
Jyllandsgade 15, 4;9000 Aalborg;640000;20-12-2015;Fam. Salg;106660;20;Lejlighed;600;19120;0;9000
Solbyen 38;9000 Aalborg;3500000;16-12-2015;Alm. Salg;250000;50;Villa;1400;19470;0;9000
Riishøjsvej 16, 2. TV;9000 Aalborg;1295000;16-12-2015;Alm. Salg;193280;20;Lejlighed;670;19770;0;9000
Morbærhaven 10;9000 Aalborg;1300000;16-12-2015;Alm. Salg;65320;50;Villa;1990;20170;0;9000
Heibergsvej 17;9000 Aalborg;1425000;14-12-2015;Alm. Salg;114910;30;Rækkehus;1240;19670;0;9000
Peder Skrams Gade 35, 4. TH;9000 Aalborg;1349000;14-12-2015;Alm. Salg;240890;20;Lejlighed;560;19520;0;9000
Vesterbro 33, 1. TV;9000 Aalborg;1099000;13-12-2015;Alm. Salg;183160;20;Lejlighed;600;19160;0;9000
Gammel Gugvej 23A;9000 Aalborg;2050000;11-12-2015;Andet;119180;50;Villa;1720;19540;0;9000
Kastetvej 131, 3. TH;9000 Aalborg;450500;11-12-2015;Fam. Salg;76350;20;Lejlighed;590;19370;0;9000
Christiansgade 9, ST;9000 Aalborg;930000;11-12-2015;Alm. Salg;143070;20;Lejlighed;650;19000;0;9000
Rømersvej 3;9000 Aalborg;3245000;10-12-2015;Fam. Salg;86530;110;Villa;3750;19350;0;9000
Rantzausgade 20, ST. TV;9000 Aalborg;1315000;09-12-2015;Alm. Salg;158430;30;Lejlighed;830;18940;0;9000
Borgmestervænget 3, 2. TH;9000 Aalborg;788000;09-12-2015;Fam. Salg;117610;20;Lejlighed;670;19310;0;9000
Rantzausgade 37, 2. TV;9000 Aalborg;2895000;09-12-2015;Alm. Salg;186770;40;Lejlighed;1550;19000;0;9000
Birkevej 26;9000 Aalborg;1480000;08-12-2015;Andet;84570;60;Villa;1750;19710;0;9000
Morelvej 5;9000 Aalborg;1695000;08-12-2015;Alm. Salg;180310;40;Villa;940;19560;0;9000
Frejasgade 8;9000 Aalborg;1600000;08-12-2015;Andet;133330;30;Villa;1200;19040;0;9000
Østerbro 37E, 2;9000 Aalborg;2645000;08-12-2015;Alm. Salg;230000;40;Lejlighed;1150;20160;0;9000
Estlandsgade 9, 3. MF;9000 Aalborg;999000;07-12-2015;Alm. Salg;212550;20;Lejlighed;470;20050;0;9000
Estlandsgade 9, 4. MF;9000 Aalborg;999000;07-12-2015;Alm. Salg;212550;20;Lejlighed;470;20050;0;9000
Islandsgade 5, 1. TV;9000 Aalborg;700000;07-12-2015;Fam. Salg;118640;20;Lejlighed;590;19260;0;9000
Nørholmsvej 29;9000 Aalborg;2300000;06-12-2015;Alm. Salg;135290;40;Villa;1700;19200;0;9000
Moltkesvej 3;9000 Aalborg;2400000;05-12-2015;Alm. Salg;163260;60;Villa;1470;19210;0;9000
Snerlevej 3, 1. TH;9000 Aalborg;1275000;04-12-2015;Alm. Salg;144880;40;Lejlighed;880;19580;0;9000
Parkvej 20, 2. TV;9000 Aalborg;1095000;04-12-2015;Alm. Salg;163430;20;Lejlighed;670;19380;0;9000
Vesterå 9, 2. 4;9000 Aalborg;960000;03-12-2015;Alm. Salg;188230;10;Lejlighed;510;19670;0;9000
Bispensgade 32, 2. TV;9000 Aalborg;1595000;03-12-2015;Alm. Salg;192160;20;Lejlighed;830;19000;0;9000
Provstejorden 6, ST. TV;9000 Aalborg;488000;02-12-2015;Fam. Salg;57410;30;Lejlighed;850;19540;0;9000
Frejasgade 6;9000 Aalborg;1600000;01-12-2015;Andet;113470;70;Villa;1410;19570;0;9000
Oldfuxvej 2;9000 Aalborg;4150000;30-11-2015;Alm. Salg;271240;50;Villa;1530;19650;0;9000
Duevej 12;9000 Aalborg;2775000;30-11-2015;Alm. Salg;179030;70;Villa;1550;19480;0;9000
Priorgade 15, 1;9000 Aalborg;1315000;27-11-2015;Fam. Salg;134180;30;Lejlighed;980;18890;0;9000
Sankelmarksgade 19, 1. TH;9000 Aalborg;1800000;27-11-2015;Fam. Salg;131380;30;Lejlighed;1370;18920;0;9000
Ferskenvej 6;9000 Aalborg;600000;25-11-2015;Alm. Salg;42250;50;Villa;1420;19740;0;9000
Kovshøjsvej 15;9000 Aalborg;849000;23-11-2015;Fam. Salg;75800;40;Villa;1120;19250;0;9000
Strandvejen 3, 6. 3;9000 Aalborg;4225000;23-11-2015;Alm. Salg;306150;30;Lejlighed;1380;20160;0;9000
Dybbølgade 12, 3. TH;9000 Aalborg;586500;22-11-2015;Fam. Salg;101120;20;Lejlighed;580;19400;0;9000
Vesterbro 50, 4. TV;9000 Aalborg;1575000;21-11-2015;Alm. Salg;175000;30;Lejlighed;900;19200;0;9000
Ryesgade 73, 3. TV;9000 Aalborg;1135000;20-11-2015;Alm. Salg;183060;20;Lejlighed;620;19360;0;9000
Vestre Fjordvej 46, ST. TH;9000 Aalborg;910000;20-11-2015;Alm. Salg;154230;20;Lejlighed;590;19380;0;9000
Golfhaven 2, ST. TV;9000 Aalborg;1998000;20-11-2015;Alm. Salg;210310;40;Lejlighed;950;20130;0;9000
Perikumvej 15, 2. TH;9000 Aalborg;487500;17-11-2015;Auktion;88630;10;Lejlighed;550;19690;0;9000
Østerbro 37A, 4. TV;9000 Aalborg;3395000;17-11-2015;Alm. Salg;247810;40;Lejlighed;1370;20160;0;9000
Kayerødsgade 27, ST. TV;9000 Aalborg;895000;16-11-2015;Alm. Salg;179000;20;Lejlighed;500;19120;0;9000
Ny Kastetvej 2, 1. TH;9000 Aalborg;1298000;13-11-2015;Alm. Salg;199690;20;Lejlighed;650;19380;0;9000
Willemoesgade 5, ST. TV;9000 Aalborg;1150000;12-11-2015;Alm. Salg;191660;20;Lejlighed;600;19340;0;9000
Østervangsvej 42;9000 Aalborg;655164;12-11-2015;Andet;55050;50;Villa;1190;19380;0;9000
Brettevillesgade 5, 1. TH;9000 Aalborg;1350000;12-11-2015;Alm. Salg;160710;20;Lejlighed;840;18880;0;9000
Nørregade 18A, ST. TH;9000 Aalborg;1385000;11-11-2015;Alm. Salg;195070;20;Lejlighed;710;18800;0;9000
Omegavej 19;9000 Aalborg;1595000;11-11-2015;Alm. Salg;218490;30;Rækkehus;730;19920;0;9000
Hasserishave 15;9000 Aalborg;1449000;11-11-2015;Alm. Salg;213080;20;Lejlighed;680;19810;0;9000
Revlingbakken 99, 1. TV;9000 Aalborg;625000;10-11-2015;Alm. Salg;122540;20;Lejlighed;510;19720;0;9000
Korsgade 42, 1;9000 Aalborg;1025000;10-11-2015;Alm. Salg;205000;20;Lejlighed;500;18970;0;9000
Dalgasgade 13, 1. TH;9000 Aalborg;1200000;09-11-2015;Alm. Salg;226410;20;Lejlighed;530;19000;0;9000
Nørregade 19, 2. TH;9000 Aalborg;2100000;09-11-2015;Fam. Salg;109370;50;Lejlighed;1920;18970;0;9000
Kastetvej 15A, 5. 2;9000 Aalborg;1245000;06-11-2015;Alm. Salg;254080;20;Lejlighed;490;19590;0;9000
Strandvejen 3, 3. 3;9000 Aalborg;3795000;06-11-2015;Alm. Salg;275000;30;Lejlighed;1380;20160;0;9000
Snerlevej 11, ST. TH;9000 Aalborg;1150000;05-11-2015;Alm. Salg;133720;30;Lejlighed;860;19580;0;9000
Thomas Kingos Vej 46;9000 Aalborg;2301000;04-11-2015;Alm. Salg;157600;50;Villa;1460;19700;0;9000
Østerbro 37D, 4;9000 Aalborg;5500000;04-11-2015;Alm. Salg;308980;40;Lejlighed;1780;20160;0;9000
Kridtsløjfen 23, 2. 1;9000 Aalborg;2080000;03-11-2015;Alm. Salg;167740;30;Lejlighed;1240;20150;0;9000
Vesterbro 127, 9. 906;9000 Aalborg;1095000;01-11-2015;Alm. Salg;192100;20;Lejlighed;570;19540;0;9000
Davids Alle 24;9000 Aalborg;1086000;01-11-2015;Alm. Salg;102450;40;Villa;1060;19100;0;9000
Østerbro 22, 2. TH;9000 Aalborg;1295000;30-10-2015;Alm. Salg;185000;20;Lejlighed;700;19000;0;9000
Ryesgade 73, 3. TH;9000 Aalborg;1175000;29-10-2015;Alm. Salg;186500;20;Lejlighed;630;19360;0;9000
Løkkegade 26, 1;9000 Aalborg;1425000;29-10-2015;Alm. Salg;169640;30;Lejlighed;840;18980;0;9000
Østre Havnegade 42, 2. TH;9000 Aalborg;6375000;29-10-2015;Alm. Salg;293770;40;Lejlighed;2170;20150;0;9000
Kærvangs Alle 12;9000 Aalborg;1702000;28-10-2015;Andet;115000;40;Villa;1480;19770;0;9000
Vingårdsgade 11, 3. TV;9000 Aalborg;1340000;28-10-2015;Alm. Salg;188730;20;Lejlighed;710;19380;0;9000
Østerbro 37C, 2. TH;9000 Aalborg;2395000;28-10-2015;Alm. Salg;234800;40;Lejlighed;1020;20160;0;9000
Østerbro 37A, 4. TH;9000 Aalborg;2895000;27-10-2015;Alm. Salg;224410;40;Lejlighed;1290;20160;0;9000
Islandsgade 15, 1. TH;9000 Aalborg;1295000;26-10-2015;Alm. Salg;185000;30;Lejlighed;700;19260;0;9000
Tyge Brahes Vej 36A;9000 Aalborg;1445000;25-10-2015;Alm. Salg;249130;20;Lejlighed;580;19190;0;9000
Brettevillesgade 10C, 1;9000 Aalborg;1300000;24-10-2015;Alm. Salg;216660;20;Lejlighed;600;18800;0;9000
Østerbro 24, 1. TV;9000 Aalborg;2000000;23-10-2015;Alm. Salg;186910;40;Lejlighed;1070;19280;0;9000
Revlingbakken 33, 9. 1007;9000 Aalborg;365000;23-10-2015;Alm. Salg;93580;20;Lejlighed;390;19720;0;9000
Boulevarden 18B, 1;9000 Aalborg;3500000;23-10-2015;Alm. Salg;158370;60;Lejlighed;2210;19160;0;9000
Blegdalsparken 64;9000 Aalborg;3525000;22-10-2015;Alm. Salg;214930;60;Villa;1640;19690;0;9000
Schleppegrellsgade 50, 2. TV;9000 Aalborg;900000;22-10-2015;Alm. Salg;136360;20;Lejlighed;660;19300;0;9000
Fyrrebakken 4, 2;9000 Aalborg;2750000;22-10-2015;Alm. Salg;275000;30;Lejlighed;1000;19590;0;9000
Sofievej 178, 2;9000 Aalborg;1245000;21-10-2015;Alm. Salg;144760;30;Lejlighed;860;19630;0;9000
Deltavej 14;9000 Aalborg;3495000;20-10-2015;Alm. Salg;224030;60;Villa;1560;19900;0;9000
Østerbro 37C, 1. TV;9000 Aalborg;2395000;20-10-2015;Alm. Salg;223830;40;Lejlighed;1070;20160;0;9000
Tovesvej 26;9000 Aalborg;1995000;19-10-2015;Alm. Salg;181360;50;Villa;1100;19610;0;9000
Anders Borks Vej 4, 3. TV;9000 Aalborg;1100000;19-10-2015;Alm. Salg;200000;20;Lejlighed;550;19300;0;9000
Islandsgade 12, 2. TV;9000 Aalborg;1250000;16-10-2015;Alm. Salg;183820;20;Lejlighed;680;19530;0;9000
Vejgård Bymidte 25;9000 Aalborg;1495000;16-10-2015;Alm. Salg;219850;30;Rækkehus;680;19830;0;9000
Peder Skrams Gade 11, 2. TV;9000 Aalborg;1395000;16-10-2015;Alm. Salg;208200;20;Lejlighed;670;19380;0;9000
Myrensvej 7;9000 Aalborg;937435;16-10-2015;Alm. Salg;63340;40;Villa;1480;19290;0;9000
Sofievej 76A, 2;9000 Aalborg;575000;16-10-2015;Alm. Salg;133720;10;Lejlighed;430;19630;0;9000
